description,category,amount
Cafe latte and sandwich,Food,350.00
Local train ticket to city center,Transport,60.00
Monthly electricity bill,Utilities,4500.00
New sneakers from online store,Shopping,8000.00
Weekend bus trip to Goa,Travel,1500.00
Subscription renewal for streaming,Entertainment,499.00
Monthly apartment rent,Rent,15000.00
Monthly internet service charge,Utilities,899.00
Dinner at fine dining restaurant,Food,3200.00
Metro card top-up for the month,Transport,1500.00
Water bill payment,Utilities,650.00
Groceries from BigBasket,Food,2150.00
Cab ride from airport to hotel,Travel,950.00
New pair of jeans from Levi's store,Shopping,3899.00
Netflix monthly subscription,Entertainment,649.00
EMI payment for home loan,Rent,35000.00
Mobile phone recharge plan,Utilities,599.00
Breakfast delivery from Swiggy,Food,280.00
Fuel refill at HP petrol pump,Transport,4500.00
Cinema tickets and popcorn,Entertainment,1200.00
Purchase of books online,Shopping,1199.00
Three nights stay in Bangkok hotel,Travel,25000.00
Lunch at the office cafeteria,Food,180.00
Bus fare for intercity travel,Transport,450.00
Gas cylinder refill,Utilities,1100.00
Birthday gift for sister,Shopping,1500.00
Amazon Prime yearly membership,Entertainment,1499.00
Monthly maintenance fees for society,Rent,2500.00
T-shirt and shorts from Decathlon,Shopping,1999.00
Flight ticket to New Delhi,Travel,6800.00
Dinner date at rooftop cafe,Food,1950.00
Parking fee at mall,Transport,80.00
Gym membership monthly fee,Entertainment,1800.00
New camera purchase,Shopping,45000.00
Toll booth charges,Transport,150.00
Home water purifier service,Utilities,499.00
Takeout lunch from local vendor,Food,120.00
Rental deposit refund received,Rent,0.00
Cab ride for shopping,Transport,350.00
Entry fee to museum,Entertainment,250.00
New hard drive purchase,Shopping,5500.00
Two nights hostel stay in Jaipur,Travel,1800.00
Roadside pani puri snack,Food,50.00
Insurance premium payment,Utilities,12000.00
Auto rickshaw fare,Transport,75.00
PlayStation game purchase,Entertainment,3999.00
Annual web hosting fee,Utilities,4200.00
Online course enrollment fee,Shopping,9999.00
Train ticket reservation fee,Transport,250.00
Homestay booking in mountains,Travel,8500.00
Coffee and muffin at CCD,Food,410.00
Monthly phone bill (postpaid),Utilities,1499.00
Local bus pass renewal,Transport,900.00
Souvenirs purchased on trip,Shopping,2500.00
Admission to amusement park,Entertainment,1599.00
Security deposit for new rental,Rent,30000.00
Quick bite at McDonald's,Food,490.00
Fuel and car wash,Transport,3800.00
Apartment deep cleaning service,Utilities,2800.00
Headphones purchase from Amazon,Shopping,1999.00
Hotel booking for business trip,Travel,7200.00
Book store visit,Shopping,850.00
Museum entrance tickets,Entertainment,400.00
Tattoo parlor visit,Entertainment,6000.00
Vegetables from vendor,Food,120.00
Car maintenance service,Transport,12500.00
Subscription to professional journal,Utilities,1999.00
Haircut and grooming,Shopping,600.00
Ferry ticket to island,Travel,550.00
Chai and samosa snack,Food,80.00
Monthly garbage collection fee,Utilities,150.00
Scooter rental for day trip,Transport,650.00
New office stationery,Shopping,450.00
Streaming device purchase (Firestick),Entertainment,3500.00
Late fee for rent payment,Rent,500.00
Donuts and milkshake,Food,550.00
Car EMI installment,Rent,18000.00
New luggage set,Travel,9500.00
Software license renewal,Utilities,7500.00
Online game subscription,Entertainment,199.00
Repair service for kitchen faucet,Utilities,800.00
Pizza and drinks,Food,1100.00
Local taxi fare,Transport,220.00
Hiking gear purchase,Shopping,4200.00
Tickets to a play/theater,Entertainment,900.00
Airport luggage fee,Travel,400.00
Home security system subscription,Utilities,1200.00
Ice cream parlour visit,Food,250.00
Bike service and oil change,Transport,1800.00
Desktop monitor purchase,Shopping,15000.00
Video game console purchase,Entertainment,30000.00
Visa application fee,Travel,6500.00
Dog food and treats,Shopping,1450.00
Water bottle refill expense,Utilities,20.00
Burger and fries,Food,320.00
Auto repair and parts,Transport,9000.00
Movie rental fee,Entertainment,150.00
New backpack,Shopping,2900.00
Inter-state bus ticket,Travel,1100.00
Monthly security charges,Rent,1000.00
Gas station snack stop,Food,150.00
Tire replacement,Transport,7000.00
Health insurance monthly fee,Utilities,2500.00
Zoo entrance tickets,Entertainment,350.00
New phone case,Shopping,700.00
Trekking tour package,Travel,18000.00
Juice and sandwich,Food,200.00
Traffic fine payment,Transport,500.00
Electricity deposit paid,Utilities,1000.00
E-reader purchase,Shopping,9000.00
Subscription to news magazine,Entertainment,299.00
Home décor items,Shopping,1800.00
Local ferry ride ticket,Transport,40.00
Cable TV monthly fee,Utilities,599.00
Sushi takeout,Food,1600.00
Ski lift pass,Travel,4000.00
Streaming service gift card,Entertainment,1000.00
New spectacles/glasses,Shopping,5500.00
Tiffin service payment,Food,3000.00
Motorcycle gear purchase,Shopping,15000.00
Domestic flight upgrade,Travel,2500.00
Towing service fee,Transport,1500.00
Water delivery service,Utilities,450.00
Online photography course,Shopping,4900.00
Donation to local charity,Entertainment,1000.00
Weekly cleaning service,Rent,1200.00
Vegetable market visit,Food,650.00
Bike helmet purchase,Shopping,3500.00
Train sleeper class booking,Travel,2800.00
Tyre pressure check,Transport,10.00
House repair contractor payment,Utilities,15000.00
